rank,account_id,account_name,industry_segment,region,plant_type,estimated_opportunity_size,estimated_annual_downtime_cost,priority_score,priority_label,lifecycle_risk_score,lifecycle_risk_label,installed_base_complexity_score,installed_base_complexity_label,modernization_fit_score,modernization_fit_label,service_urgency_score,service_urgency_label,data_readiness_score,data_readiness_label,sales_readiness_score,sales_readiness_label,confidence_level,priority_segment,segment_reason,opportunity_type,next_best_action
18,IBA-016,Prairie Grain Milling,Food and beverage,Plains,Milling,640000,1180000,53,Tier 3,86,Critical,29,Focused,50,Emerging,74,Near term,24,Early,41,Needs discovery,Low,Service-risk account,Support exposure and reliability risk are the clearest path into the account.,Safety lifecycle review,Confirm evidence quality and account timing
19,IBA-009,Ironwood Metals Recycling,Metals,Mid-Atlantic,Material handling,560000,1120000,53,Tier 3,82,Critical,39,Focused,48,Emerging,73,Near term,32,Early,33,Early,Medium,Service-risk account,Support exposure and reliability risk are the clearest path into the account.,Safety lifecycle review,Confirm evidence quality and account timing
20,IBA-012,Lakeside Specialty Chemicals,Chemicals,Gulf Coast,Batch and blending,610000,890000,52,Tier 3,55,Moderate,20,Simple,62,Good,57,Near term,64,Developing,60,Developing,Medium,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Short-cycle service opportunity,Build discovery plan and validate business trigger
21,IBA-022,Valley Fresh Produce,Food and beverage,West,Sorting and packaging,540000,880000,51,Tier 3,37,Moderate,53,Scaled,57,Good,48,Monitor,79,Ready,51,Needs discovery,High,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Analytics and edge monitoring,Build discovery plan and validate business trigger
22,IBA-034,Helix Bioprocessing,Life sciences,Northeast,Bioreactor suite,940000,1370000,49,Tier 3,19,Low,27,Simple,61,Good,45,Monitor,86,Ready,65,Developing,High,Strategic enterprise account,Large opportunity value and strategic fit justify a roadmap-level conversation.,Analytics and edge monitoring,Build discovery plan and validate business trigger
23,IBA-036,Jade Electronics Assembly,Electronics,West,Surface mount assembly,650000,820000,49,Tier 3,16,Low,50,Scaled,50,Emerging,43,Monitor,88,Ready,76,Ready,High,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Analytics and edge monitoring,Build discovery plan and validate business trigger
24,IBA-040,Norwood Specialty Textiles,Textiles,Southeast,Coating and winding,520000,870000,49,Tier 3,66,High,28,Focused,52,Emerging,57,Near term,45,Needs discovery,45,Needs discovery,Medium,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Safety lifecycle review,Confirm evidence quality and account timing
25,IBA-004,Delta Plastics Group,Plastics and rubber,Southeast,Injection molding,510000,720000,49,Tier 3,40,Moderate,63,Scaled,48,Emerging,45,Monitor,67,Developing,52,Needs discovery,Medium,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Assessment workshop,Build discovery plan and validate business trigger
26,IBA-035,Inland Corrugated Packaging,Pulp and paper,Midwest,Corrugating,550000,990000,48,Tier 3,67,High,30,Focused,53,Emerging,54,Monitor,47,Needs discovery,37,Needs discovery,Medium,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Safety lifecycle review,Confirm evidence quality and account timing
27,IBA-028,Beacon Specialty Foods,Food and beverage,Northeast,Ready-to-eat meals,520000,790000,48,Tier 3,25,Low,37,Focused,52,Emerging,46,Monitor,81,Ready,76,Ready,High,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Analytics and edge monitoring,Build discovery plan and validate business trigger
28,IBA-013,Monarch Snack Foods,Food and beverage,West,Snack processing,430000,840000,48,Tier 3,66,High,31,Focused,51,Emerging,57,Near term,35,Early,45,Needs discovery,Medium,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Safety lifecycle review,Confirm evidence quality and account timing
29,IBA-020,Terra Agri Nutrients,Chemicals,Plains,Fertilizer blending,470000,810000,47,Tier 3,55,Moderate,23,Simple,48,Emerging,62,Near term,45,Needs discovery,51,Needs discovery,Medium,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Short-cycle service opportunity,Confirm evidence quality and account timing
30,IBA-011,Keystone Appliance Assembly,Discrete manufacturing,Midwest,Assembly,480000,760000,46,Tier 3,41,Moderate,38,Focused,48,Emerging,45,Monitor,73,Developing,52,Needs discovery,High,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Assessment workshop,Build discovery plan and validate business trigger
31,IBA-027,Atlas Metal Finishing,Metals,Midwest,Coating and finishing,280000,650000,44,Tier 3,83,Critical,19,Simple,37,Emerging,67,Near term,22,Early,33,Early,Low,Service-risk account,Support exposure and reliability risk are the clearest path into the account.,Safety lifecycle review,Confirm evidence quality and account timing
32,IBA-021,Union Rail Car Systems,Transportation equipment,South Central,Heavy fabrication,520000,760000,41,Monitor,66,High,27,Simple,40,Emerging,50,Monitor,26,Early,27,Early,Low,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Safety lifecycle review,Confirm evidence quality and account timing
33,IBA-019,Summit Cold Chain Logistics,Warehousing and logistics,Northeast,Automated cold storage,390000,690000,39,Monitor,40,Moderate,17,Simple,42,Emerging,50,Monitor,46,Needs discovery,45,Needs discovery,Medium,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Assessment workshop,Confirm evidence quality and account timing
34,IBA-015,Oakline Medical Devices,Life sciences,West,Precision assembly,360000,520000,39,Monitor,14,Low,24,Simple,47,Emerging,33,Low,79,Ready,70,Developing,High,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Analytics and edge monitoring,Build discovery plan and validate business trigger
35,IBA-033,Grove Furniture Manufacturing,Building products,Southeast,Wood processing,270000,610000,38,Monitor,65,High,29,Focused,32,Limited,53,Monitor,23,Early,27,Early,Low,Modernization candidate,"Lifecycle, uptime, or modernization indicators point to a phased upgrade discussion.",Safety lifecycle review,Confirm evidence quality and account timing
36,IBA-029,Cobalt Industrial Coatings,Chemicals,Mid-Atlantic,Batch mixing,310000,450000,36,Monitor,39,Moderate,10,Simple,39,Emerging,41,Monitor,44,Needs discovery,55,Needs discovery,Medium,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Assessment workshop,Confirm evidence quality and account timing
37,IBA-030,Driftwood Marine Fabrication,Transportation equipment,Gulf Coast,Large assembly,190000,330000,35,Monitor,75,High,1,Simple,31,Limited,49,Monitor,20,Early,27,Early,Low,Low priority,Low near-term readiness and limited value signal make immediate pursuit less attractive.,Safety lifecycle review,Confirm evidence quality and account timing
38,IBA-008,Harbor Pharma Fill Finish,Life sciences,Northeast,Validated packaging,420000,640000,34,Monitor,15,Low,13,Simple,40,Emerging,35,Low,68,Developing,52,Needs discovery,High,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Assessment workshop,Build discovery plan and validate business trigger
39,IBA-032,Frontier Water Systems,Water and utilities,Mountain,Treatment and pumping,300000,380000,33,Monitor,22,Low,20,Simple,34,Limited,40,Monitor,60,Developing,45,Needs discovery,Medium,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Assessment workshop,Build discovery plan and validate business trigger
40,IBA-023,Westhaven Aerospace Machining,Aerospace,West,Precision machining,260000,420000,29,Monitor,14,Low,13,Simple,32,Limited,37,Monitor,44,Needs discovery,51,Needs discovery,Medium,Education/nurture account,"There are useful signals, but more evidence is needed before pursuing a proposal.",Assessment workshop,Confirm evidence quality and account timing
